Id,Country,Site,Location,Latitude,Longitude,Date_dd/mm/yyyy,Time,Depth_m,T_C,TotalLength_cm,TotalWeigth_gr,StomachLength_cm,StomachWeight_gr,ItemNo,Item_Genus_species,Item_TotalLength_cm,Item_Weigth_gr,Notes
001-Po-16/05/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,16/05/2010,10:56,38.1,28,21.3,112.7,7.2,7.7,1,unid,na,0.7,Isolated rock on sand patch
002-Po-29/05/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,29/05/2010,10:14,27.9,28,12.4,27.6,3.8,0.3,1,Canthigaster_rostrata,2,1.1,
003-Pd-29/05/10,Mexico,PuertoAventuras,Pared,20.50166667,-87.21166667,29/05/2010,12:55,18.5,28,16.6,52.3,7.8,0.7,1,unid,na,1.8,
004-Cs-12/06/10,Mexico,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:40,15.5,28,20.3,123.1,6.8,7.5,1,unid,na,0.3,Isolated rock on sand patch
005-Cs-12/06/10,Mexico,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:45,15,28,21.2,129,5.6,6.5,1,Callinectes_sapidus,1.4,0.5,Isolated rock on sand patch
005-Cs-12/06/10,Mexico,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:45,15,28,21.2,129,5.6,6.5,2,Callinectes_sapidus,1.3,0.4,Isolated rock on sand patch
006-Pl-21/06/10,Mexico,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,11:34,22.7,29,21,138.75,6.2,10.15,1,Pterois_volaitans,1.7,0.15,Pregnant female
006-Pl-21/06/10,Mexico,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,11:34,22.7,29,21,138.75,6.2,10.15,2,unid,1.5,0.1,Pregnant female
007-Pl-21/06/10,Mexico,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,12:11,13.4,29,13.2,50.29,3.6,1.85,1,empty,0,0,
008-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07,18.5,29,12.2,17.2,2.6,1.1,1,unid,0.9,0.1,
008-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07,18.5,29,12.2,17.2,2.6,1.1,2,Malacoctenus_trinagulatus,2.2,0.1,
008-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07,18.5,29,12.2,17.2,2.6,1.1,3,Malacoctenus_trinagulatus,na,0.1,
008-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07,18.5,29,12.2,17.2,2.6,1.1,4,Malacoctenus_trinagulatus,na,0.1,
009-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:08,18.2,29,22.4,112.7,6.1,8.5,1,Lysmata_sp,2.9,0.2,Pregnant female
009-Po-04/07/10,Mexico,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:08,18.2,29,22.4,112.7,6.1,8.5,2,Lysmata_sp,2.2,0.2,Pregnant female
